,Name,Current Price,Previous Price,Price Per Each,Category,Product ID,Amount,Units,General Category,Price Difference,Total Sales,Percent Increase/Decrease
0,English Cucumber,1.99,1.99,1.99,Fresh Vegetables,20070132001_EA,1,ea,Fruits & Vegetables,0.0,1.99,0.0
1,Green Onion,1.29,1.29,1.29,Fresh Vegetables,20107500001_EA,1,bunch,Fruits & Vegetables,0.0,1.29,0.0
2,"Bi-Colour Corn, Corn on the Cob",0.99,0.99,0.99,Fresh Vegetables,20131170001_EA,1,ea,Fruits & Vegetables,0.0,0.99,0.0
3,"Romaine Heart, 3 Pack",6.0,6.0,2.0,Fresh Vegetables,20067389001_EA,3,pack,Fruits & Vegetables,0.0,6.0,0.0
4,Red Peppers    ,2.38,2.38,9.9,Fresh Vegetables,20007535001_KG,1,ea,Fruits & Vegetables,0.0,9.9,0.0
5,Yellow Onions,2.99,2.99,0.22,Fresh Vegetables,20811994001_EA,3,lb,Fruits & Vegetables,0.0,0.66,0.0
6,Celery Stalks,3.49,3.49,3.49,Fresh Vegetables,20163119001_EA,1,ea,Fruits & Vegetables,0.0,3.49,0.0
7,Lettuce Iceberg,3.99,3.99,3.99,Fresh Vegetables,20135326001_EA,1,ea,Fruits & Vegetables,0.0,3.99,0.0
8,Broccoli,3.99,3.99,3.99,Fresh Vegetables,20145621001_EA,1,ea,Fruits & Vegetables,0.0,3.99,0.0
9,Red Onion,2.03,2.03,5.49,Fresh Vegetables,20134101001_KG,1,ea,Fruits & Vegetables,0.0,5.49,0.0
10,Tomato Beefsteak  Red,1.47,1.47,5.49,Fresh Vegetables,20426141001_KG,1,ea,Fruits & Vegetables,0.0,5.49,0.0
11,Zucchini,0.92,1.23,3.28,Fresh Vegetables,20426596001_KG,1,ea,Fruits & Vegetables,-0.30999999999999994,3.28,-25.2
12,Cauliflower,4.49,4.49,4.49,Fresh Vegetables,20135377001_EA,1,ea,Fruits & Vegetables,0.0,4.49,0.0
13,Sweet Green Peppers,2.46,2.46,8.8,Fresh Vegetables,20425893001_KG,1,ea,Fruits & Vegetables,0.0,8.8,0.0
14,English Cucumber 3Ct    ,3.99,3.99,1.33,Fresh Vegetables,20828461001_EA,3,pack,Fruits & Vegetables,0.0,3.99,0.0
15,Roma Tomatoes,0.39,0.53,3.28,Fresh Vegetables,20143381001_KG,1,ea,Fruits & Vegetables,-0.14,3.28,-26.42
16,Broccoli Crowns,1.65,3.34,4.34,Fresh Vegetables,20026161001_KG,1,ea,Fruits & Vegetables,-1.69,4.34,-50.6
17,Tomato On The Vine Red (1 Bunch),3.9,3.9,5.49,Fresh Vegetables,20026703001_KG,1,ea,Fruits & Vegetables,0.0,5.49,0.0
18,Ginger,1.38,1.48,6.57,Fresh Vegetables,20179038001_KG,1,ea,Fruits & Vegetables,-0.10000000000000009,6.57,-6.76
19,"Garlic Bulbs, 3-count",0.99,0.99,0.33,Fresh Vegetables,21004355001_EA,90,g,Fruits & Vegetables,0.0,29.700000000000003,0.0
20,Naturally Imperfect Mixed Sweet Peppers 2.5lb Bag,5.0,6.0,0.45,Fresh Vegetables,20921434001_EA,1,kg,Fruits & Vegetables,-1.0,0.45,-16.67
21,Mini Cucumbers,7.0,7.0,0.47,Fresh Vegetables,21035960001_EA,15,ea,Fruits & Vegetables,0.0,7.05,0.0
22,White Potatoes,9.0,9.0,0.2,Fresh Vegetables,20600997001_EA,10,lb,Fruits & Vegetables,0.0,2.0,0.0
23,Sweet Potato,2.77,2.77,4.39,Fresh Vegetables,20127708001_KG,1,ea,Fruits & Vegetables,0.0,4.39,0.0
24,Sweet Baby Peppers (4-Pack),6.0,6.0,1.5,Fresh Vegetables,20117550001_EA,1,ea,Fruits & Vegetables,0.0,1.5,0.0
25,Grape Tomatoes,4.0,4.0,1.41,Fresh Vegetables,21367888001_EA,283,g,Fruits & Vegetables,0.0,399.03,0.0
26,Grape Tomato 907G    ,5.0,5.0,0.55,Fresh Vegetables,20840038001_EA,908,g,Fruits & Vegetables,0.0,499.40000000000003,0.0
27,Sweet Onion,2.73,2.73,5.93,Fresh Vegetables,20083454001_KG,1,ea,Fruits & Vegetables,0.0,5.93,0.0
28,Colossal Garlic,1.32,1.32,13.21,Fresh Vegetables,20135581001_KG,1,ea,Fruits & Vegetables,0.0,13.21,0.0
29,"Greenhouse Peppers, Orange",2.38,2.38,9.9,Fresh Vegetables,20166880001_KG,1,ea,Fruits & Vegetables,0.0,9.9,0.0
30,Mini Cucumbers,4.0,4.0,0.67,Fresh Vegetables,20737570001_EA,6,pack,Fruits & Vegetables,0.0,2.82,0.0
31,Romaine Lettuce,2.99,2.99,2.99,Fresh Vegetables,20065036001_EA,1,ea,Fruits & Vegetables,0.0,2.99,0.0
32,"Cabbage, Green",4.77,4.77,2.84,Fresh Vegetables,20793034001_KG,1,ea,Fruits & Vegetables,0.0,2.84,0.0
33,"Greenhouse Peppers, Yellow",2.48,2.48,9.9,Fresh Vegetables,20141814001_KG,1,ea,Fruits & Vegetables,0.0,9.9,0.0
34,Whole White Mushrooms,5.0,5.0,1.1,Fresh Vegetables,20738571_EA,454,g,Fruits & Vegetables,0.0,499.40000000000003,0.0
